Account,total_pnl,avg_pnl,pnl_std,avg_size,total_fees,total_trades,overall_win_rate,pnl_consistency,net_profit,volume_segment,frequency_segment,performance_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,1474579.703239,434.082927064763,4933.8615851078375,15270.05806888431,6104.164196,3397,0.332057697968796,0.08086576269192358,1468475.539043,High Volume,Infrequent,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,59818.400639,9.118658633993903,133.50246937983658,1669.3316371951219,2468.22398114,6560,0.45167682926829267,0.06393623974920204,57350.17665786,Low Volume,Infrequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,-51397.850757,-16.011791513084113,588.5958976648722,9042.124669781932,7892.9293,3210,0.3582554517133956,0.026482943898471174,-59290.780056999996,High Volume,Infrequent,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,126959.06519,10.218855858821636,116.8109907466579,494.81363570508694,2047.120502702,12424,0.4365743721828719,0.08044452647855782,124911.94468729799,Low Volume,Frequent,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,126365.161918,56.81886776888489,278.3863181218979,3113.303529676259,2128.654931,2224,0.49460431654676257,0.16950473966532764,124236.506987,Low Volume,Infrequent,Inconsistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-29974.692882,-38.330809312020456,568.4746846097848,1751.9725831202047,144.26910438,782,0.44884910485933505,0.06316819754595016,-30118.96198638,Low Volume,Infrequent,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,3503.6713759999975,1.0562771709375935,757.6233124002873,4289.437482665058,1297.25514107,3317,0.32047030449201086,0.0013922572657247294,2206.4162349299977,High Volume,Infrequent,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,45477.084147,137.8093459,1208.17137948701,3273.2153939393943,169.900707917,330,0.47575757575757577,0.10238582418063652,45307.183439083004,Low Volume,Infrequent,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,125211.929227,373.7669529164179,2043.0118392021534,5327.445313432836,239.311654979,335,0.19402985074626866,0.15465501192551023,124972.617572021,High Volume,Infrequent,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,357580.492611,324.18902321940163,1710.0499287950279,2121.678848594742,534.261978,1103,0.4814143245693563,0.15936624500202867,357046.230633,Low Volume,Infrequent,Inconsistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,99314.474473,12.630608479333587,90.40546635090044,521.1438204247743,1156.1826479359,7863,0.3463054813684344,0.12258433272176017,98158.2918250641,Low Volume,Infrequent,Inconsistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,580366.959712,157.5371769033659,887.3026902149463,9746.360969055375,7233.134602,3684,0.4375678610206297,0.1507763838853664,573133.82511,High Volume,Infrequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,263461.546495,41.77287878468369,645.6641329833553,17093.642712858727,33768.997266,6307,0.34691612494054225,0.06076611830551111,229692.54922900003,High Volume,Infrequent,Inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,459092.06116599997,47.23655326329869,627.2199923969281,36130.311123572385,63013.98407511,9719,0.3615598312583599,0.07003646649623474,396078.07709089,High Volume,Frequent,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,107473.095849,117.58544403610505,483.66779147710236,755.5940481400437,179.7290641224,914,0.43544857768052514,0.19556725368095274,107293.36678487761,Low Volume,Infrequent,Inconsistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,284.15325341826605,2589.680977058476,7523.825883520847,1540.83728729,1511,0.3639973527465255,0.09887600697522754,427814.72862770996,High Volume,Infrequent,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,365066.208498,267.0564802472568,1519.8862973316734,2063.8070592538406,267.93876216,1367,0.31602048280907097,0.14944881481268404,364798.26973584,Low Volume,Infrequent,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,381701.363182,45.28429981990746,165.5738294398147,2738.6463340847076,2164.06823468,8429,0.8275002965950884,0.2147619348558719,379537.29494732,Low Volume,Frequent,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,15295.499025000001,10.512370463917527,71.6039863777038,3574.4186116838487,704.39047808,1455,0.474914089347079,0.12801798409289936,14591.10854692,High Volume,Infrequent,Inconsistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,-215231.585525,-58.886890704514364,1839.8552574482928,2216.416287277702,1285.17908792,3655,0.4024623803009576,0.03101363224164088,-216516.76461292,Low Volume,Infrequent,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,52553.547948,109.25893544282744,634.3539311287095,16358.737837837838,2644.53408768,481,0.36174636174636177,0.1469298614298742,49909.01386032,High Volume,Infrequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,43108.666259,3.367075393189096,72.91667324895414,800.6968608919784,3157.26965847,12803,0.2586893696789815,0.0441388297392735,39951.396600529995,Low Volume,Frequent,Inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,42.094759605586965,221.9723527716574,3513.697296308613,2819.95880027,3007,0.28965746591286995,0.15940932298093485,123758.98333373,High Volume,Infrequent,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,96835.853619,9.488129886243387,44.520190636566596,1328.1254889280815,1382.4526463683,10206,0.3596903782088967,0.1756790397182625,95453.4009726317,Low Volume,Frequent,Inconsistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72900.115626,176.513597157385,980.6171110782531,2085.182421307506,189.81144304,413,0.5786924939467313,0.15254421639758245,72710.30418296,Low Volume,Infrequent,Consistent Winner
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,474.8098365007934,2979.4417761989343,548.72926461,563,0.40852575488454707,0.20242540698911424,67296.89026639001,Low Volume,Infrequent,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,14601.148174,30.29283853526971,256.58445554796145,7248.633340248963,402.9199264464,482,0.3153526970954357,0.1055951068977976,14198.2282475536,High Volume,Infrequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1742073.162996,154.49389526392338,1450.9458435974682,4210.661496984746,12952.43615284,11276,0.32458318552678256,0.09623151310150913,1729120.7268431599,High Volume,Frequent,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,18470.551893,4.082792195623342,342.0274625253834,22392.140614500444,26749.424594,4524,0.4500442086648983,0.011796218516883897,-8278.872701,High Volume,Infrequent,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,882795.026094,52.16848044521924,632.7367315967032,3584.696360359296,7540.074427219,16922,0.4667297009809715,0.07616890560620533,875254.951666781,High Volume,Frequent,Inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,310821.615571,139.5070087841113,1489.0606971288737,7325.568967684022,3503.454949,2228,0.35771992818671455,0.08566239418698458,307318.160622,High Volume,Infrequent,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,808963.870413,25.247772242220904,294.34586014762334,1899.6918354608158,10243.34110543,32041,0.44867513498330264,0.07899960976513876,798720.52930757,Low Volume,Frequent,Inconsistent
